HATHI_ID,TITLE,YEAR,AUTHOR,BIG5?,BIG6?,CLASS
mdp.39015001659104,Sisterhood is powerful; an anthology of writings from the women's liberation movement.,1970,"Morgan, Robin",,,FEM
uva.x000492935,Patriarchal attitudes.,1970,"Figes, Eva",,,FEM
mdp.39015013967289,Sexual Politics,1970,"Millett, Kate",,,FEM
mdp.39015015282331,The Black Woman,1970,"Bambara, Toni",,,FEM
pst.000045451751,The Female Eunuch ,1970,"Greer, Germaine",,,FEM
uc1.32106010272489,Dialectic of Sex,1970,"Firestone, Shulamith",,,FEM
mdp.39015050200560,Woman's place; options and limits in professional careers.,1970,"Epstein, Cynthia Fuchs.",,,WOMEN
mdp.39015015061537,Jobfinding techniques for mature women. [Prepared by Rose Terlin.,1970,United States. Women's Bureau.,,,WOMEN
mdp.39015050814220,A dangerous experiment ; 100 years of women at the University of Michigan.,1970,"McGuigan, Dorothy Gies.",,,WOMEN
mdp.39015081872940,Report on progress on the status of women.,1970,United States. Interdepartmental Committee on the Status of Women.,,,WOMEN
mdp.39015072112249,Social isolation of the lower-income blue-collar women / Helena Znaniecki Lopata.,1970,"Lopata, Helena Znaniecka, 1925-2003.",,,WOMEN
mdp.39015032038799,Woman on the American frontier.,1970,"Fowler, William Worthington, 1833-1881.",,,WOMEN
mdp.39015012961127,"The Slavic immigrant woman, by Bessie Olga Pehotsky.",1970,"Pehotsky, Bessie Olga.",,,WOMEN
mdp.39015000656622,Sex roles and social structure.,1970,"Holter, Harriet, 1922-",,,WOMEN
mdp.39015013501237,"The greatest American woman, Lucretia Mott, by Lloyd C. M. Hare.",1970,"Hare, Lloyd Custer Mayhew, 1893-",,,WOMEN
pst.000050208630,"The Grimké sisters: Sarah and Angelina Grimké : the first American women advocates of abolition and woman's rights / by Catherine H. Birney. Boston, Lee and Shepard, 1885.",1970,"Birney, Catherine H.",,,WOMEN
mdp.39015002401571,Youth into maturity; a study of men and women in the first ten years after college.,1970,"Cox, Rachel Dunaway, 1904-",,,WOMEN
